id,name,city,state,website,visito_info,logitude,latitude,description
11,Mahabalipuram Rathas,Kancheepuram,Tamil Nadu,,"Open from 6 A.M. to 6 P.M.Entrance Fee:Citizens of India and visitors of SAARC (Bangladesh, Nepal, Bhutan, Sri Lanka, Pakistan, Maldives and Afghanistan) and BIMSTEC Countries (Bangladesh, Nepal, Bhutan, Sri Lanka, Thailand and Myanmar) - Rs. 10 per head.Others: US $ 5 or Indian Rs. 250/- per head(children up to 15 years free)",12.608925,80.189512,"Mahabalipuram is a temple town that is situated along the Coromandel Coast 55 kilometers off Chennai, the capital of Tamilnadu. The place is famous for its Ratha temples that are a part of the famous shore temple complex. The Pallava king Narsimha built the magnificent 'Ratha' cave temples of Mahabalipuram. The beauty of the sculptural art of the rock-cut temples tells about the architectural contribution of the erstwhile Pallava rulers. These 7th century temples are regarded the pioneer of an entirely revolutionary style of architecture that came to be known as Dravidian architecture style.These 'Ratha' temples of Mahabalipuram are commonly called the Pancha Pandava Ratha. These temples are considered pioneer of the Dravidian monolith era and mark the point of transition between the earlier tradition of rock-carved temples and the later tradition of freestanding stone structures. There are actually eight Rathas at Mahabalipuram out of which five are named after the five Pandavas of Mahabharata and one after Draupadi. The five rathas that can be seen are Dharmaraja Ratha, Bhima Ratha, Arjuna Ratha, Draupadi Ratha and Nakul Sahadev Ratha. The interesting features among all these Ratha temples are the fact that all of them are monolith and are based on the Buddhist Viharas and Chaityas. The largest and the smallest among them are three-storied Dharmaraja Ratha and one-storied Draupadi Ratha respectively. The magnificent way in which these Monolithic Cave Temples were excavated by scooping out the scarp of the hill from front to back is a real treat for the eyes.Apart from the famous Rathas, there are other magnificent temples in Mahabalipuram too. These temples are renowned for their Mandapas (cave sanctuaries). A Mandapa is an open pavilion or a hall with cells in the back wall and is cut out of a single piece of rock. The giant open-air relief such as the famous 'Descent of the Ganges' and the temple of Rivage, with thousands of sculptures to the glory of Shiva, are the most attractive. Both of these temples attract a lot of crowd every year. "
12,Mattancherry Palace,Kochi,Kerala,,Entrance fee: Rs. 2/- (Children up to 15 years free)Timings of visit: 10.00 am - 5.00 pm.Museum remain closed on Friday,9.958291,76.259408,"The Mattancherry Palace is also known Dutch Palace of Kochi. The Portuguese built it and they gifted it to the Maharaja of Kochi, Veera Kerala Varma. It acquired the name ""Dutch Palace"" after the Dutch renovated it in the year 1663. Now, this palace is a gallery of exotic paintings and murals, thus signifying the rich tradition of the Hindus through art. One can find a vast collection of paintings and portraits of the Maharajas of Cochin. The Hindu temple art is beautifully depicted in the form of murals in Cochin Mattancherry palace. There is a certain medieval charm associated with the Mattancherry Palace, Kochi that lends this place its mystical charm.The architecture of the palace is highly influenced by the Portuguese style of architecture. You will find two arches at the entrance of the palace, which lead to the palace compound. This is typical of Portuguese style of architecture. The most unique thing about this palace is that although the style of architecture is Portugal, the construction pattern is traditional Kerala style. The palace has two stories, which is built around a central courtyard. This style is known as ""nalukettu"". The palace has round-headed windows and doors and the typical sloping tiled roof, thus giving it a European look.The palace looks beautiful from inside. The interiors are beautifully made up and one can find huge paintings and murals on the walls inside the palace. There are two temples inside the palace, which are dedicated to Lord Krishna and Lord Shiva. The palace has exhibits of royal headdresses, weapons, furniture, royal robes, palanquins and other lifestyle materials used by the royal family. The paintings depict scenes from the epics like Ramayana and Mahabharata and the sacred Puranas. These paintings are very old and most of them date back to the 16th Century. The paintings are massive and spread over a total area of almost 1000 sq. ft. The palace has exquisite flooring that looks like polished black granite but is actually made of a mixture of charcoal, burnt coconut shells, lime, plant juices and egg whites!"
13,Mysore Palace,Mysore,Karnataka,http://www.mysorepalace.gov.in/,"Timings : 7.00 pm to 7.45 pm - All days expect Sundays & Govt. Holidays.Palace Illumination can be seen at the end of the Sound and Light Program Show.Tickets for Adults Rs 40 / head, Children above 7 years and below 12 years Rs 25 / head",12.305135,76.655148,"With its majestic architecture and royal aura, the Mysore palace is the crown jewel of Mysore, the city of palaces. The official residence of the Woodeyar dynasty, the Mysore palace was first built in the 14th century. After being ravaged by fire and lightning twice, the present structure came up in 1912 courtesy the design of British architect Henry Irwin.Irwin built the Mysore palace in the Indo-Saracenic style, incorporating the design elements of Hindu, Muslim, Rajput, and Gothic styles of architecture. The three-storied stone building of fine gray granite with deep pink marble domes features domes, turrets, arches, and colonnades ornated with beautiful carvings.Among the beautiful rooms of the palace, the elegantly designed Amba Vilasa or Diwan-E-Khas is a treat to the eye and was used by the king for private audience. The Kalyana Mantapa or Marriage Hall with its chandeliers and stained Belgian glass ceiling arranged in peacock designs is another main attraction. The magnificent jewel-studded golden throne, made of 200kgs of pure gold, is displayed during the Dasara festival.The Mysore palace is illuminated on Sundays, national holidays and state festivals from 7:00 p.m. to 8 p.m. The timings are from 7 p.m. to 9 p.m. during the Dasara festival"
14,Vivekananda Rock,Kanyakumari,Tamil Nadu,,Opening Closing Time9 am to 5:30 pm (Daily)Entrance FeeRs. 20 per person,8.07815,77.555323,"Vivekananda Rock Memorial is built on the legendary Vivekanad Rock that juts out of the convergence of the Indian Ocean, the Arabian Sea and the Bay of Bengal. About 400 mts offshore the two rocky islands became the seat of enlightenment for Swami Vivekanand, an Indian philosopher and social reformer. It is believed that in the year 1892, Swami Vivekanand swam across the sea and meditated on this isolated rock island, imparting the spiritual charisma to him.Kanyakumari is famous all across the world for Vivekanand rock that houses a memorial dedicated to Swami Vivekanand. The memorial has two structures in its precincts - Vivekananda Mandapam and Sripada Mandapam on two rocks facing each other. The smaller rock called 'Sripada Parai' is revered as a sacred spot where Goddess Kanya Kumari did meditation. The rock has an impression of a human footprint, which is revered to be that of Goddess Kanya Kumari.Vivekananda Mandapam is thronged by tourists from across the world and all those who seek mystical enlightenment come to meditate here. It has a Meditation Hall called Dhyan Mandapam where one can meditate in peace. In the Assembly Hall or Sabha Mandapam there is a statue of Swami Vivekanand. The design of mandapam has different styles of temple architectures of India, instilling a complete Indian essence within itself."
15,Nalanda,Patna,Bihar,,Anytime round the year,25.203805,85.509734,"N?land? was an ancient centre of higher learning in Bihar, India. The site is located about 88 kilometres south east of Patna, and was areligious centre of learning from the fifth century AD to 1197 AD.[2][3] Nalanda flourished between the reign of the ?akr?ditya (whose identity is uncertain and who might have been either Kumara Gupta I or Kumara Gupta II) and 1197 AD, supported by patronage from the Hindu Gupta rulers as well as Buddhist emperors like Harsha and later emperors from the Pala Empire.[4]The complex was built with red bricks and its ruins occupy an area of 14 hectares. (488 by 244 metres)[5] At its peak, the university attracted scholars and students from as far away as Tibet, China, Greece, and Persia.[6] Nalanda was ransacked and destroyed by a Turkish Muslim army under Bakhtiyar Khilji in 1193. The great library of Nalanda University was so vast that it is reported to have burned for three months after the invaders set fire to it, ransacked and destroyed the monasteries, and drove the monks from the site. In 2006, Singapore, China, India, Japan, and other nations, announced a proposed plan to restore and revive the ancient site as Nalanda International University."
16,Qutub Minar,Delhi,Delhi,,"Citizens of India and visitors of SAARC (Bangladesh, Nepal, Bhutan, Sri Lanka, Pakistan, Maldives and Afghanistan) and BIMSTEC Countries (Bangladesh, Nepal, Bhutan, Sri Lanka, Thailand and Myanmar) - Rs. 10 per head.Others: US $ 5 or Indian Rs. 250/- per head(children up to 15 years free)",28.526407,77.187028,"Qutab-ud-din Aibak, the first Muslim ruler of Delhi, commenced the construction of the Qutab Minar in 1200 AD, but could only finish the basement. His successor, Iltutmush, added three more storeys, and in 1368, Firoz Shah Tughlak constructed the fifth and the last storey. The development of architectural styles from Aibak to Tughlak are quite evident in the minar. The relief work and even the materials used for construction differ.Qutub Minar of Delhi was constructed in 1192 by Qutab-ud-din Aibak, the founder of Slave family and later finished by his son-in-law and successor Iltutmish. The elevated tower of Qutub Minar of Delhi is made out of brick tile and sandstones. Qutub Minar is a beautiful example of Indo-Islamic Afghan architecture.Nowadays, Qutub Minar is a well-known member of the World Heritage Site community and survived the ravages of time impressively. Qutub Minar of Delhi is enclosed by a prosperous green manicured garden, which is a much preferential leisure pad for Delhi locals. Qutub Minar at Delhi is a five storied tower. Each tower of the famous Qutub Minar of Delhi has exclusive designs. Again during the time of Emperor Feroze Shah Tughlaq, when the top most storey of the Qutub Minar was damaged, the king repaired the floor and elevated the Qutub Minar to another level. The first three stories of the Qutub Minar have special designs.Qutab Minar is situated in Qutab Minar Complex, very near to Connaught Place New Delhi. Qutab Minar is certainly one of the major tourist attractions in Delhi and it is highly reachable. Qutab Minar is also generally called the marble tower of success and it is indeed a charming structure made out of red sandstone. Qutab Minar being the victory tower is the main stone tower in India. Qutab Minar of Delhi was actually built to celebrate the victory of Mohammed Ghori over Rajputs in 1192.Interestingly, the word ""Qutb"" means ""axis or pole of justice"" and thus, Qutab Minar is also measured to be an artistic symbol of Islamic justice and the military regime of the Slave Dynasty. The Light Show in the Qutab Minar is certainly a major attraction and you should not miss out this one. It is yet believed that Prithvi Raj Chauhan built this tower so that his daughter could see the holy Yamuna River from the top of the monument during the prayer time. Let us not get into these arguments and understand this charming piece of architecture."
17,Safdarjung Tomb,Delhi,Delhi,,"Citizens of India and visitors of SAARC (Bangladesh, Nepal, Bhutan, Sri Lanka, Pakistan, Maldives and Afghanistan) and BIMSTEC Countries (Bangladesh, Nepal, Bhutan, Sri Lanka, Thailand and Myanmar) - Rs. 5 per head.Others: US $ 2 or Indian Rs. 100/- per head(Free entry to children up to 15 years)",28.589308,77.210547,"Safdarjung's Tomb entombs Muqim Abul Mansur Khan, also known as Safdarjung. He was the viceroy of Awadh under the Mughal Emperor, Mohammed Shah and later became his prime minister. Nawab Shuja-ud-Daulah, Safdarjung's son, constructed Delhi Safdarjung's Tomb, the last garden tomb in the city, in the year 1753-54. The tomb consists of a number of charming pavilions namely Jangli Mahal, (Palace in the woods), Moti Mahal (Pearl Palace) and Badshah Pasand (King's favorite).There is also a madrassa (Muslim School) inside the premises of the Tomb Of Safdarjang, Delhi. The red sandstone and buff stone monument comprises of the tomb, the courtyard and a mosque. There is a library over the main gateway, maintained by the Archaeological Survey of India (ASI). One of the last remnants of Mughal architecture, Safdarjung's Tomb is to some an extent like the Humayun's Tomb. It stretches over an area of 300-sq-metre and is set in the middle of a widespread garden.The Mughal 'Chaharbagh' style garden has an enclosure raising to two levels, which is entered through an enormous entrance. The central chamber of the tomb stands surrounded by eight rooms all around. The corner apartments of the Delhi Safdarjung Tomb are octagonal, while the rest are rectangular in shape. There is also a dome of the tomb that rises from a sixteen-sided base. The two graves inside the Tomb of Safdarjang, Delhi belong to Safdarjung and most probably his wife. "
18,Sanchi Stupa,Sanchi,adhya Pradesh,,"Open from sunrise to sunse.Entrance Fee:Citizens of India and visitors of SAARC (Bangladesh, Nepal, Bhutan, Sri Lanka, Pakistan, Maldives and Afghanistan) and BIMSTEC Countries (Bangladesh, Nepal, Bhutan, Sri Lanka, Thailand and Myanmar) - Rs. 10 per head.Others: US $ 5 or Indian Rs. 250/- per head(children up to 15 years free)",23.481285,77.739738,"The stupa-laden town of Sanchi, located in the Raisen district of Madhya Pradesh, takes one on an enchanting journey of the most flourishing periods of Buddhist art and architecture in India. The whole place brims with preserved vestiges of Buddhist architectural legerdemain, from the 3rd century BC to the 12th century AD. Due to their beauty preserved across centuries, the historical monuments of Sanchi find incorporation in the World Heritage Sites enlistment. The most significant of all these monuments is the Great Sanchi Stupa.Generally, stupas are large hemispherical domes with a central chamber, used for interring the holy relics of the Buddha. Thus, the Great Sanchi Stupa, or Stupa Number One, also serves as a chasse or a monstrance. Built by Emperor Ashoka, in 3rd century BC, the nub of the stupa is a hemispherical dome of brick, built over the sacred relics of the Buddha and sheltered by a parasol. Sungas sabotaged this beautiful stupa during the 2nd century BC, only to refurbish it during the later years of their regime.During the Sunga rule, the stupa was enlarged to twice its original size. Three parasols, within a railing, decked its top, like a dazzling tiara. The three-tiered structure formed the symbol of the Dharma, or the Wheel of Law. Beautiful stones festooned its facades. In addition, railings, staircase and a harmika were also added to the structure. Later, during the Satavahana period, the stupa was further beautified, with carved gateways (toranas) and ornamental balustrades displaying various motifs. Today, the railings girdle a path for circumambulation around the stupa, with four gates facing each direction.Nevertheless, the most distinguished feature of the Stupa is the way Lord Buddha finds representation here. Instead of an image, he has been represented by various symbols like footprints, wheels, thrones etc. Moreover, the four gateways that flank the stupa contain elaborate depiction of various incidents from the life of the Buddha. They also delineate his previous incarnations as mentioned in the Jataka tales. Due to its historical, architectural and religious importance, this Great Sanchi Stupa is today acclaimed as one of the best Buddhist stupas found across India."
19,Dhamekh Stupa,Varanasi,Uttar Pradesh,,"Anytime round the year,From Sunrise to sunset",25.380902,83.024515,"Dhamek Stupa in Sarnath is one of the most visited and most revered Buddhist Shrines in the world. Dhamek Stupa marks the place where Lord Buddha gave away his first sermon after he got enlightened in Bodh Gaya. Dhamek Stupa is arguably the most remarkable structure at Sarnath. Typical of Stupas of that period, Dhamek is cylindrical in shape with a base that is more than 28 meters in diameter. The Stupa stands 31.3 meters above the pedestal whereas the entrance measures 43.6 meters on its feet. Dhamek Stupa that was originally commissioned during Mauryan period is made partly out of red bricks and stones. The architectural pattern of Dhamek Stupa is distinct in itself. Numerous excavation works have been carried out in and around this structure that was first started by Colonel Cunningham of Royal British Army in early 20th century. The decorative patterns on the trunk of Stupa are mesmerizing. Panels that are carved with geometric and floral designs mark the trunk of Dhamek Stupa. The design also consists of a broad band of Swastika (fylfot). These Swastikas have been carved in different geometrical patterns with a finely chiseled lotus wreath, running over and below it. It has also been reveled that the structure was expanded and enlarged as many as 12 times in the course of history. It is interesting to note that successive patrons of this shrine have each added and embellished the original shrine. The main area has been enclosed and consists of a labyrinth of half-ruined monasteries and votive Stupas.It can be safely claimed that Dhamek Stupa is the most conspicuous structure at Sarnath. During the initial excavation, a stone tablet was unearthed that reveled that the name of this Stupa is Dhamek and it marks the place where Lord Buddha gave his first sermon. It is generally agreed upon by the historians that the word Dhamek is a distorted form of Dharma Chakra that means turning the wheel of the Dharma. Some also claim, with the help of Prakrit sources that Dhamek is the very spot where the five ascetics who left Gautam Buddha in Bodh Gaya used to live in huts.Several dignitaries as well as other pilgrims of Buddhist countries visit this place for circumambulation of this sacred Stupa. The pattern of worship followed by the Tibetans is different from other Buddhists. Tibetans Buddhist circumambulates Stupa counter-clockwise chanting the mantra 'Om mani padme hum'. It is worth knowing that the first discourse of the Buddha was on the 'Wheel of Law'. This is the possible reasoning behind the naming of this Stupa."
20,Victoria Memorial,Kolkata,West Bengal,,entry fee10 per person for the Museum (Indians) 150 per person for the Museum (Foreigners) timingsAll days of the week except Monday10:00 AM - 5:00 PM,22.544546,88.343024,"This is a memorial dedicated to Queen Victoria, built between 1906-21. The architectural blend of this monument is interesting. Mughal domes in tandem with Sarcenic and Renaissance styles. There is a very interesting museum in the memorial with over 3000 exhibits, including the Queen's piano and study desk. It is open daily from 10.00 am to 4.30 pm, except on Mondays.Designed after the Taj Mahal in Agra, it has a vast collection of pictures, statues, manuscripts, letters etc, relating to the Nawabi and British times in Bengal. The memorial was the inspiration of Lord Curzon, who in 1901, felt that his recently departed Queen Victoria, required a suitable monument to her memory. She was the first British monarch to be awarded the title of Queen-Empress of India in 1877. The building was designed by Sir William Emerson President of the British Institute of Architects. Vincent J Esch, an assistant Engineer in the Bengal Nagpur Railway, was the superintending architect and the work of construction was entrusted to Messrs Martin and Co of Kolkata. Lord Redesdale and Sir David Prain designed the gardens. Though the construction of the building substructure began in 1904, it was completed only after 20 years at a cost of 10 million rupees. The Prince of Wales formally inaugurated it in 1921. Set amid 64 acres of lawns, fountains, and herbaceous borders this greatest symbol of the British, houses artifacts illustrating British roots in India. The building covers an area of 103.02m by 69.49m.The 'H' shaped memorial consists of numerous hybrid features; it has Italian-style statues over its entrances, Mughal domes in its corners and tall elegant open curved colonnades along its sides. There are 3000 exhibits in 25 galleries in a chamber beneath the dome. Main entrance is from the north. A bronze statue of Queen Victoria sits enthroned in bronze at the entrance marble staircase wearing the regal Order of the Star of India. Above her, a black bronze angel known as Victory, holding a bugle in her hand was placed at the apex of the dome above the Memorial and has always been regarded as a curious addition to the monument. It is fixed to its pedestal with ball bearings and rotates when the wind is strong enough.Excellent paintings such as, Burne-Jones's portrait of Rudyard Kipling, Johann Zoffany's portrait of William Hastings and his family, Macaulay, Bishop Heber and William Hickey, Verestchagin's monumental depiction of the Prince of Wales making his grand tour of Jaipur in 1876, the works of the Victorian artists Thomas and William Daniells, paintings of Robert Clive, marriage of the Prince of Wales with Princess Alexandra are exhibited and a huge painting depicts King Edward VII entering Jaipur in a regal procession in 1876. French guns captured at the Battle of Plassey are on exhibit along with the black stone throne of the Nawab whom Clive defeated. Also on display are some Indians without discrimination. Among these are - Keshab Chandra sen, Michael Madhusudan Dutt, Rabindranath tagore and his grandfather Dwarkanath Tagore. "
21,Cellular Jail,Port Blair,Andaman,, 5 per person 10 camera charges 50 video camera charges timingsAll days of the week except Monday,11.674192,92.747807,"The Cellular Jail, also known as K?l? P?ani (Black Water), was a colonial prison situated in the Andaman and Nicobar Islands, India. The prison was used by the British especially to exile political prisoners to the remote archipelago. Many notable dissidents such as Batukeshwar Dutt andVeer Savarkar, among others, were imprisoned here during the struggle for India's independence. Today, the complex serves as a national memorial monument.[2] The construction of the prison started in 1896 and was completed in 1906. The original building was apuce-colored brick building. The bricks used to build the building were brought from Burma.The building had seven wings, at the centre of which a tower served as the intersection and was used byguards to keep watch on the inmates. The wings radiated from the tower in straight lines, much like the spokes of a bicycle wheel. A large bell was kept in the tower to raise the alarm in any eventuality.Each of the seven wings had three stories upon completion. There were no dormitories and a total of 693 cells. Each cell was 4.5 metres x 2.7 metres or 13.5x7.5 feet in size with a ventilator located at a height of three metres.[10] The name, ""cellular jail"", derived from the solitary cells which prevented any prisoner from communicating with any other. Also, the spokes were so designed such that the face of a cell in a spoke saw the back of cells in another spoke. This way, communication between prisoners was impossible. They were all in solitary confinement.[11]"
22,Hawa Mahal,Jaipur,Rajasthan,,entry fee 10 per person for Indians  50 per person or foreign tourists timingsAll days of the week,26.923936,75.826744,"Built in 1799, by Maharaja Sawai Pratap Singh the 'Hawa Mahal', Palace of the Wind, is one of the major landmarks of Jaipur. It is an integral part of the City Palace, an extension of the Zenana (women's chambers) standing away from the main complex. This five storey building of unusual architecture designed by Lal Chand Usta, is a stunning example of Rajput artistry made of red and pink sand stone, beautifully outlined with white borders and motif's painted with quick lime.The monument with a spectacular view of Jaipur city with road avenues, intersections and colourful crowds in the market, was originally conceived with the aim of enabling ladies of the royal household to watch the everyday life and royal processions in the city without being seen by others.Falling under the Golden Triangle, and being visited by millions of domestic and foreign tourists, the city of Jaipur is a place of high tourist interest. The Pink City, as commonly known, has all sorts of amenities for domestic and foreign tourists. Hotels ranging from 5 star to low budgets are available. The city is linked by Rail, Road, and Air and attracts high traffic in winters. Views from Hawa Mahal The upper floors are reached through a ramp rather than the regular stairs, a device to facilitate movement of palanquins carried by servants. This is a less tiresome way as the ramp ascends lazily to the top of the freestanding square tower. Imagine queens and princesses loaded with the heaviest jewelry and covered with the endless yardage of Clothes - skirts and sarees, climbing to the uppermost pavilion heaving and painting for respite from the sweltering summer heat. Here even the May-June winds feel so mild and cool. Jaipur itself appears in all its grandeur, with straight, wide roads, intersections and teeming crowds in the market.Jantar Mantar looks a collection of mystifying masonry instruments. The City Palace stands apart, surrounded by a maze of courtyards. The Nahargarh fort, perched upon the hill, which slopes down sharply towards the palace, keeps its vigil over the city looks spectacular, a truly fairy-late setting."
23,Leh Palace,Leh,Jammu And Kashmir,,entry fee 15 per person for Indians 100 per person or foreign tourists timingsAll days of the week,34.165772,77.586565,"Leh Palace is situated on the edge of a hill overseeing the town below. It is said to be a miniature version of the Potala in Lhasa. Known as Lhachen Palkhar, the Leh Palace was built in the 17th century by Dharmaraja Singey Namgial. This nine-storied palace took three years to complete. It served as the royal residence until the royal family was exiled to Stok in the 1830s. Now, it houses the Ladakhi branch of the Indian Government's archaeological conservation organization. Leh Palace also houses a museum displaying some exquisite tangkhas (painted or embroidered scrolls) and paintings.There is a Victory Tower above the palace, on the Namgyal hill. It was built to commemorate the victory of Ladakh over the Balti Kashmir armies in the early 16th century. There is also a monastery above the Leh Palace known as Namgyal Tsemo Gompa. The monastery boasts of some beautiful frescos, Buddhist scriptures & idols and a huge statue of the Maitreya Buddha (future Buddha). "
24,Agra Fort,Agra,Uttar Pradesh,,entry fee 20 per person for Indians 300 per person or foreign tourists timingsAll days of the week,27.179533,78.021112,"India ground of kings and Maharajas and with royalty come royal palaces and forts. Most of the fort and palaces in India have been changed into heritage hotels now one can enjoy living like maharajah or maharani while staying at these hotels. India has a prosperous cultural past and this is reflected through the many forts, palaces and other monuments in the country. In Uttar Pradesh fort & Palaces Tour, there are many forts, monuments and palaces covers in this state. Agra Fort of Uttar Pradesh is one of the beautiful Forts of the world. It is built massive red sandstone. Agra Fort is situated on the bank of the Yamuna River. It was begun by Emperor Akbar in 1565, though additions were made up until the rule of his grandson, Shah Jahan. Agra fort was mainly a military structure in Akbar's time, but during Shah Jahan reign it had partially become Palace. Entrance of Agra Fort is Amar Singh Gate; the eastern part of the fort contains palace, audience hall and mosques built by three emperors. A trip to Agra would be incomplete without visiting Agra Fort. By Shah Jahan's time the style had become so homogenized that it is impossible to separate the Hindu and Muslim strands.Agra city of Uttar Pradesh is world well-known for the Taj Mahal, built by the Mughal emperor Shah Jahan in memory of his beloved wife. The city of Agra is also famous for the Agra Fort, which is a veritable treasure trove of the Mughal architectural tradition. The range of buildings within this famous fort complex represents the integration of different cultures, which was the mark of the Mughal period.Some other attractions is situated nearby Agra Fort like Diwan-e-Am, Diwan-e-Khas, Octagonal Tower, Jehangir Palace, Mina Masjid, Moti Masjid, Machhi Bhawan, Sheesh Mahal, Jahangiri Mahal, Anguri Bagh, Golden Pavilions and Musamman Burj. Structure of Diwan-e-Am was originally made out of wood but was later built in the present form by Shah Jahan. Diwan-e-Am hall of public hearing is the place where the Emperor heard the petitions of the public and met the officials. Diwan-e-Khas was the hall of private audience, also added by Shah Jahan.Octagonal Tower is situated nearby Diwan-i-Khas. In this Tower Shah Jahan spent last seven years of his life imprisoned by his son Aurangzeb. The tower was considered to give one of the best views of the Taj. Jehangir Palace was built by Akbar for his favorite son Jehangir to provide him with the comfort and luxury inside the fort. Mina Masjid is situated just above the Sheesh Mahal, which is believed to be constructed by Shah Jahan for strictly private use. It is surrounded on all the four sides by high walls."
25,Ajanta Caves,Aurangabad,Maharashtra,,entry fee 10 per person for Indians 250 per person or foreign tourists timingsAll days of the week except Monday,20.551868,75.703262,"The Ajanta caves are 108 kms north-east of Aurangabad .The caves are carved in the rock face which is in the face which is in the form of a horse-shoe through which flows the stream Waghora.Situated in this beautiful surroundings are 30 Buddhist caves some unfinished comprising of either viharas (monastic halls) or chaityas(chapels)containing important examples of Buddhist architecture.Despite its age ,most of the frescoes and sculptures are remarkably well preserved .Natural light illuminates the caves at certain times of the daywhich leave you awestruck by the sheer brilliance of its architectural splendour.The Ajanta caves is placed in the World Heritage List of Monuments & a true ""Wonder of the World"".The Ellora caves are 29 kms Noth-West of Aurangabad.This rock-cut caves were constructed between sixth to the tenth century A.D & are included in the World Heritage.There are about 34 caves-12 Buddhist,17 Hindu,5 of Jain faith. A wonderful example of cave temple architecture, the world heritage Ellora caves own elaborate facades and intricately carved interiors. These carved structures on the inner walls of the caves reflect the three faiths of Hinduism, Buddhism and Jainism. These exotic caves were carved during 350 AD to 700 AD period. The Chalukya - Rashtrakuta rulers (7th - 10th cnetury) were the main patrons of the cave temples of Ellora. Many kings and Merchants donated huge sums of money for the construction of these cave temples. Some religious beliefs and ethical codes forced the rulers to encourage the buliding of these temples. Building of these temples was supposed to give salvation and religious excellance to the kings. The enchanting cave shrines of Ellora are an added value to the great Indian Heritage.The incredible caves of Ajanta are dedicated exclusively to Buddhism. There are around 30 caves here and are divided into 'Chaitya-Grihas' (stupa halls) and 'Viharas' (dwelling halls). Around five of these caves (9, 10, 19, 26 and 29) are 'Chaitya-Grihas'. The rest of the caves are 'Sangharamas' or Viharas (monasteries). The caves 1, 2, 16 and 17 are important from the art point of view. They are great pieces of art compared to the contemporary art world. These caves have exotic paintings illustrating the life and incarnations of Buddha. The carvings and the paintings of the Ajanta caves tell us about the imagination and creativity of the artist. The murals on the walls of these caves are still in a good condition, maintaining the freshness of the color and spreading vibrancy in the atmosphere. Visitors will definitely enjoy watching these great historical pieces of art.The Ajanta caves were divided into several viharas (dwelling halls) and chaitya-grihas (stupa halls), scooped out of the sloping rocks in the fifth century CE. The viharas consisted of a broad verandah. The roof of this verandah was supported by pillars and giving towards the interior on to a hall averaging in size about 35 ft. by 20 ft. Also there are dormitories to the left, right and back , opening on to this hall. The number of dormitories varied according to the size of the hall, and in the larger ones pillars supported the roof on all three sides, forming a sort of religious residence running round the hall. "
26,Akbar Tomb,Agra,Uttar Pradesh,,"Open from Sunrise to SunsetEntrance Fee:Citizens of India and visitors of SAARC (Bangladesh, Nepal, Bhutan, Sri Lanka, Pakistan, Maldives and Afghanistan) and BIMSTEC Countries (Bangladesh, Nepal, Bhutan, Sri Lanka, Thailand and Myanmar) - Rs. 5 per head. Rs. 10/- per head as Toll Tax (Agra Development Authority) Others: US $ 2 or Indian Rs. 100/- per head (ASI); Rs. 10/- per head as Toll Tax (Agra Development Authority) (Fridays free entry by ADA) Rs. 500/- ticket of ADA is valid for the monuments of Agra Fort, Itimadi-ud-daula, Akbar’s TomSikandara and Fatehpur Sikri(Free entry to children up to 15 years)",27.219107,77.949593,"This mausoleum is situated on the out skirts of the Agra City. It houses the mortal remains of the Mughal Emperor Akbar, who, during his lifetime itself had completed the tomb and laid out a beautiful garden. However, the topmost portion of mausoleum in marble was constructed by his son, Jahangir.The shape of tomb is pyramidal and consists of five storeys. The cenotaph is at a level below the ground level, while the false cenotaph is at the top floor. The entire tomb is constructed of red sandstone but for the top storey which is constructed in white marble. The ground floor is surrounded by cloisters except at the centre on the southern side. These cloisters are divided by massive arches and piers divisible into many bays.The square storeys have arcaded verandah, with arcades and cluster of kiosks on each side. Some of the kiosks in second storey have marble pyramidal roofs while the rest are crowned by cupolas. Each angle at the third storey has a small square room. The top most storey is entirely made up of white marble. It has a square court, which is open to sky. The central courtyard is enclosed in all the sides by slender arches and piers and divided into bays, which has been roofed in the trabeate pattern. At the centre of the courtyard lies a square platform, over which a white marble cenotaph is laid out. This cenotaph is profusely carved with arabesque and floral patterns."
27,Basilica Of Bom Jesus,Old Goa,Goa,,Opening Closing TimeSunday: 10.30 am to 6.30 pm Weekdays: 9.00 am to 6.30 pm Masses: Sundays 8.00 am & 9.15 am Weekdays: 7.00 am & 8.00 am Entrance FeeFree Entry,15.500788,73.911599,"The town of Old Goa has some of Goa's most prominent churches and the Basilica of Bom Jesus church stands out for its magnificent Baroque architecture and sacred legacy. Built in 1695, the Bom Jesus Church has been designed along the lines of Gesu, the Jesuit headquarters in Rome. In 1946, the church was declared a Minor Basilica, the first church of India to be accorded such a status.Dedicated to Infant Jesus, the church has been declared a World Heritage Monument. 'Bom Jesus' literally means 'Infant Jesus' or 'Good Jesus.' This impressive structure boasts of pristine white marble flooring and has beautifully gilded altars decorated with frescoes and inlay work. The imposing façade is endowed with a profusion of basalt embellishments making it one of the richest facades in Goa.The Basilica of Bom Jesus enshrines the sacred remains of St. Francis Xavier, a member of the Society of Jesus (Jesuits) who died on a sea voyage to China in 1552. Legend has it that when the body of Xavier was transferred to Goa the following year, the body was found as fresh as the day it was buried. Consequent to this miracle the title of 'Saint' was conferred on Xavier and his mortal remains, confined inside his tomb, attracts devotees from all over the world. The mausoleum of St. Xavier was carved by the 17th century Florentine sculptor Giovanni Battista Foggini and the saint's body is kept in a silver casket. On the auspicious occasion of 'Exposition,' the silver casket is lowered for pilgrims to view the St. Francis Xavier's body. The exposition of St. Francis Xavier is held once in every ten years, the last being in 2004."
