eid,name,venue,description,day,year,month
11,iplT20,All over India,"Indian Premier League (IPL) is a Twenty20 cricket tournament where different franchise teams participate for the title. The tournament started in 2008 and from then it usually takes place every year in the months of April - June. It is currently supervised by BCCI Vice-President Ranjib Biswal, who serves as the League's Chairman and Commissioner.",16,2014,4
12,Kala Ghoda Art Festival,Kala Ghoda,"The Kala Ghoda precinct can be roughly defined as the area that stretches from the Regal Circle Southern end of Mahatma Gandhi Road, up to the Mumbai University on the northern end, flanked by the Oval Maidan to the west and the Lion Gate to the east. The name Kala Ghoda can be traced to the old equestrian statue of King Edward VII, which was placed at the centre of the large node on the old Esplanade Road. The statue, a vestige of the colonial era, has since been removed from the site, but the name persist regardless - an assertive confirmation of a compelling public memory.",1,2014,2
13,India Interational Jewellery Show,"Bombay Convention & Exhibition Centre,Mumbai",Jewellery Show,17,2014,7
14,India Bridal Fashion Week,Delhi,"India Bridal Fashion Week (IBFW) is one of the highest profile fashion event in India and one of the  big four  fashion week being held in the country. Its the most opulent and the only fashion week in India, which is held in Mumbai and Delhi and showcases the best of the trends and designs in bridal couture by leading fashion designers. IBFW has become the most aspired destination for India's top designers, couture lovers, influential individuals, legacy brands, celebrities, socialites and film stars.",23,2014,7
15,Auto Expo 2014,Delhi,Car Exhibition,7,2014,2
16,Summer Shopping Carnival,Mumbai,"Summer Shopping Carnival is an event exclusively aimed at highly affluent women of the age group 18 to 35 years residing in posh localities of Bandra, Juhu, Andheri, Lokhandwala etc. The event will offer an excellent platform for Exhibitors to display their spectrum of products/services all under one roof.",25,2014,4
17,50th National Garment Fair,"Bombay Convention & Exhibition Centre,Mumbai","India's Most Established Garment Fair is once again leading the way by reinventing itself to meet the rapidly changing needs of garment manufacturers, brands and retailers in the Indian market.",15,2014,7
18,Chemspec India,"Bombay Convention & Exhibition Centre,Mumbai","2014 marks the 9th anniversary of Chemspec India. Unrivalled as the only dedicated event in India for the fine and speciality chemicals community, Chemspec India returns to the Bombay Exhibition Centre.",10,2014,4
19,Kerala Shopping Festival,Kerala,Shopping Festival,22,2014,12
20,IFSEC India,New Delhi,"Overwhelmed with the response to IFSEC India 2013. Serious business visitors thronged the venue in large numbers on all three days and the expo turned out to be a perfect meeting platform for the buyer & seller communities. We thank everyone and hope to receive even greater response while we host the 8th edition of the expo at Pragati Maidan, New Delhi.",11,2014,12
